lat,lon
49.50397553,18.44028578
49.63190644,18.59377347
49.58738617,18.51650486
49.51593308,18.54907658
49.63870142,18.27553775
49.81139483,18.40006969
49.81543314,18.04597486
49.83110353,16.96667442
50.169529,17.21839911
50.24228897,17.27700867
50.21393867,17.29919133
49.85968419,16.97446481
49.85074072,16.96037478
49.97136008,17.03982039
49.87985511,17.02651733
49.96922364,16.84359078
49.99351533,16.91275781
50.05377264,16.90168061
49.86845936,16.78456022
50.03670161,16.81974689
49.76285231,16.80576314
49.67532744,16.87606556
49.87327869,17.04553103
49.72670936,17.43506692
49.83766508,17.03987764
49.74401869,17.31913592
49.73708589,16.89043192
49.72924508,16.84469517
49.84749433,17.01965511
49.85042372,17.30611875
49.78432131,17.38893869
49.80414092,17.39200753
49.71671606,17.43894197
49.70277514,16.94268022
50.15463578,17.04366186
50.18474808,16.88235169
50.11006867,17.05605458
50.15766686,17.07254608
50.07751625,16.98027386
50.13871856,16.87861047
50.16234708,16.86225761
50.13867472,16.87017431
50.16785842,17.06459406
50.2030035,17.00346053
50.21429208,16.89058903
50.23907469,16.97531561
50.20877931,16.93941358
50.14573636,16.88470014
50.21159897,17.01877578
50.21630242,16.97661925
49.79479394,17.31109883
49.57809333,16.85898817
49.59727933,17.75800778
49.76630314,17.33183236
50.40351886,16.93328972
50.34937411,17.16136944
50.35033031,17.13695392
50.35707275,17.19635325
49.78910894,17.27936319
50.25381489,17.27030808
50.25859583,17.31201181
50.30818578,17.23722358
50.25688108,17.20369836
50.24467556,17.31361464
50.06674364,17.02743536
50.07268133,17.00785169
50.06991722,17.21000483
50.05392189,17.15346219
50.01240958,17.12777444
50.00203783,17.07541303
50.00267808,17.13273942
50.00666842,17.06360233
50.11416081,17.08381269
50.13368686,17.10368636
50.13487911,17.08031614
50.11956081,17.13413094
50.09250861,17.19603331
50.10668281,17.12689919
49.91916867,16.77281039
50.06311936,17.13396169
50.05525706,17.13538483
50.05912764,17.17394461
50.02345636,17.17408481
50.047815,17.18514456
49.51760853,17.72805222
49.486147,17.66834308
50.13597294,16.95661919
49.86312744,17.45440014
49.83214061,17.46274147
49.75195811,17.50940064
49.58154792,16.97478161
50.04017861,16.92156583
49.85160508,16.82156203
50.01877864,17.0030025
49.92863033,16.99229839
49.80969081,16.77130133
49.88495031,16.78780536
49.82417492,16.87263897
49.88109575,16.99725742
50.21698825,16.92245533
49.72331883,16.85132103
49.79948294,17.29424169
50.05169169,16.86841178
50.06097378,16.87578819
49.80609028,17.49197153
49.94842089,17.16954036
49.91022953,17.15025614
49.94422219,17.14005375
49.96540892,17.127591
50.05839675,17.115685
50.03865847,17.11077922
50.06366803,17.20088244
50.07684322,17.19128683
50.08320114,17.1534845
50.08437356,17.03671019
50.1385995,17.12438144
50.11778108,17.10768594
50.12740394,17.12423772
50.07769083,17.11927381
50.04895358,17.15810942
50.01948081,17.16237086
50.04526417,17.17030069
50.31915822,17.22016158
50.39475114,16.93915067
50.40765922,16.87608842
50.40848083,16.89640589
50.35176883,16.9260995
50.40315692,16.94272906
50.38357394,16.96069547
50.32784381,17.01790522
50.41565953,16.93293403
50.31832956,17.00755347
50.42134858,16.89973019
50.3446595,17.02585114
50.71049197,15.14454389
50.73709928,15.37064108
50.91228989,15.01142569
50.99392311,15.04894881
50.84844781,15.06716764
50.88814456,15.08841858
50.96105881,15.04295558
50.96479706,15.07284172
50.50226592,15.23605836
50.76763889,14.84884278
50.83588917,15.09917194
50.74350056,14.94432028
50.69169028,15.32004167
50.6650875,15.32732722
50.67251944,15.32367083
50.63591972,15.21030389
50.56616222,14.49598222
50.85896722,15.25900306
50.91631289,15.23358631
50.97915475,15.19585636
50.51118644,15.35873839
50.99004611,15.16445956
50.81619681,14.78578003
50.590436,15.55105783
50.78823489,14.961952
50.72244958,15.00271164
50.78779044,14.97096628
50.70933042,14.88698333
50.831916,14.81909989
50.64551686,15.18469622
49.09711944,15.06464975
49.11725903,14.80114869
49.11660003,14.84623539
49.15134947,14.84955097
49.09499553,14.87854917
49.15022967,14.82308217
48.77723133,14.26643503
48.90076342,14.19633389
48.85660839,14.27762397
48.75192781,14.36197692
48.75215906,14.16868722
48.74244789,14.40880414
48.87793514,14.30047175
48.89917375,14.25246419
48.66614878,14.42940428
48.75699792,14.58405994
48.84612622,14.30898383
48.63022142,14.50303772
48.89003703,14.20735289
48.67089875,14.58109786
49.46183528,14.81585569
49.43055789,14.80515592
49.41188572,14.75702311
49.29183181,14.86621531
49.31047669,14.81188072
49.447959,14.87195536
49.41899497,14.73701853
48.69160856,14.03329175
48.61732869,14.21279119
48.64346275,14.27391197
48.64534189,14.04903997
48.67635642,14.38527575
48.66192097,14.20792622
48.72707297,14.36406636
48.61375575,14.22847083
48.70746531,14.10509133
48.62093003,14.38007772
48.57554186,14.30338528
48.60568522,14.19623847
48.66109269,14.08048872
48.58902961,14.26423419
48.65501447,14.10247058
48.64815053,14.38041494
48.63515114,14.07307933
48.58826239,14.28015881
48.59931572,14.15972425
48.71162514,14.26892556
48.74165486,14.39217961
48.71597328,14.24283206
48.69962878,14.31360078
48.61895208,14.19872658
48.69457956,14.33546147
48.57993828,14.23965989
48.59655606,14.21736578
48.70133239,14.26393556
48.87185411,14.75454022
49.06733725,14.86980103
48.83418444,14.94625906
48.97729156,14.87358597
48.99391536,14.93813764
48.86090175,14.96219339
48.87802428,14.96727353
48.89347458,14.82231925
48.91172869,14.879621
48.92510072,14.83879428
49.00642708,14.80977414
49.18017508,14.77766108
49.24512514,14.95000417
49.19122378,14.71998133
49.22396867,14.51307464
49.06403369,15.00857503
49.002327,14.96751433
49.04572203,14.97833436
49.08697114,15.05857753
49.09214556,15.07381514
49.03299289,14.97855089
48.61291567,14.14340603
49.10530711,14.79350636
49.11567317,14.76214975
49.16296544,14.79631658
48.70844489,14.69804419
49.08345747,15.11029144
49.07101417,15.09846778
49.01907517,15.05464311
49.04484578,15.11679931
49.00099094,15.07707606
49.01568742,13.87496086
48.96877417,13.80202503
49.02226633,13.6792545
48.91781511,14.03958139
49.06938658,15.12308975
49.08125028,15.19301047
49.08561411,15.15562606
49.01185017,15.22370358
49.01435758,15.29890592
49.03773814,15.192536
