X;Y;ref;emergency;emergency_telephone_code;operator;name
50,51092264;14,56779825;"	ME009";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,27130186;14,74876581;"	MB001";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,28338056;14,68675556;"	MB002";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,49921944;14,73007222;"	MB003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,4895925;14,77581778;"	MB004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,51198528;14,84973528;"	MB005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,91059278;18,56949206;"	KA004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,48554722;14,87525833;"	MB006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,52711111;14,87722222;"	MB007";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,21394481;14,78322472;"	NY001";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,29778708;15,02142878;"	NY002";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,32338686;15,09588125;"	NY003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,33012267;15,13730781;"	NY004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,11441047;15,17857258;"	NY005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,10412347;15,16999017;"	NY006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,10885489;15,12479611;"	NY007";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,34406078;15,16760544;"	NY008";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,34066214;15,17976297;"	NY009";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,31675939;15,18977633;"	NY010";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,14932086;14,92344833;"	NY011";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,13927622;14,93839883;"	NY012";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,13143142;14,95210108;"	NY013";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,90796378;14,61386694;"	PH001";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,91073881;14,64787047;"	PH002";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,99902472;14,76563569;"	PH003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,96645858;14,71536778;"	PH004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,92264575;14,79178983;"	PH005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,91223097;14,76479083;"	PH006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,18400403;14,75922606;"	PH007";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,06949956;17,4674815;"	BR037";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,28797342;14,67356053;"	PH008";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,24298014;14,72916822;"	PH009";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,06840075;14,69884608;"	PH010";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,88656992;14,25775458;"	PZ001";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,8453945;14,20602114;"	PZ002";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,18974194;14,34143556;"	PZ003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,84058094;14,29167336;"	PZ004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,87015072;14,19289167;"	PB001";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,80765381;13,98486811;"	PB002";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,78828097;14,01305206;"	PB003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,77487019;14,02426522;"	PB004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,63809294;13,92905769;"	PB005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,56642236;13,80477039;"	PB006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,54947125;13,83234944;"	PB007";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,52511764;13,87348675;"	PB008";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,55352489;13,99754056;"	PB009";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
